,etag,id,kind,snippet.assignable,snippet.channelId,snippet.title
0,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xy1mB4_yLrHy_BmKmPBggty2mZQ""",1,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Film & Animation
1,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""",2,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Autos & Vehicles
2,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/nqRIq97-xe5XRZTxbknKFVe5Lmg""",10,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Music
3,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/HwXKamM1Q20q9BN-oBJavSGkfDI""",15,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Pets & Animals
4,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/9GQMSRjrZdHeb1OEM1XVQ9zbGec""",17,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Sports
5,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""",18,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Short Movies
6,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/M-3iD9dwK7YJCafRf_DkLN8CouA""",19,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Travel & Events
7,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WmA0qYEfjWsAoyJFSw2zinhn2wM""",20,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Gaming
8,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EapFaGYG7K0StIXVf8aba249tdM""",21,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Videoblogging
9,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/xId8RX7vRN8rqkbYZbNIytUQDRo""",22,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,People & Blogs
10,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/G9LHzQmx44rX2S5yaga_Aqtwz8M""",23,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Comedy
11,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/UVB9oxX2Bvqa_w_y3vXSLVK5E_s""",24,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Entertainment
12,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/QiLK0ZIrFoORdk_g2l_XR_ECjDc""",25,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,News & Politics
13,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/r6Ck6Z0_L0rG37VJQR200SGNA_w""",26,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Howto & Style
14,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/EoYkczo9I3RCf96RveKTOgOPkUM""",27,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Education
15,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/w5HjcTD82G_XA3xBctS30zS-JpQ""",28,youtube#videoCategory,True,UCBR8-60-B28hp2BmDPdntcQ,Science & Technology
16,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/lL7uWDr_071CHxifjYG1tJrp4Uo""",30,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Movies
17,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/WnuVfjO-PyFLO7NTRQIbrGE62nk""",31,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Anime/Animation
18,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/ctpH2hGA_UZ3volJT_FTlOg9M00""",32,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Action/Adventure
19,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/L0kR3-g1BAo5UD1PLVbQ7LkkDtQ""",33,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Classics
20,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/pUZOAC_s9sfiwar639qr_wAB-aI""",34,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Comedy
21,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xb5JLhtyNRN3AQq021Ds-OV50Jk""",35,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Documentary
22,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/u8WXzF4HIhtEi805__sqjuA4lEk""",36,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Drama
23,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/D04PP4Gr7wc4IV_O9G66Z4A8KWQ""",37,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Family
24,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/i5-_AceGXQCEEMWU0V8CcQm_vLQ""",38,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Foreign
25,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/rtlxd0zOixA9QHdIZB26-St5qgQ""",39,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Horror
26,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/N1TrDFLRppxZgBowCJfJCvh0Dpg""",40,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Sci-Fi/Fantasy
27,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/7UMGi6zRySqXopr_rv4sZq6Za2E""",41,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Thriller
28,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/RScXhi324h8usyIetreAVb-uKeM""",42,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Shorts
29,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/0n9MJVCDLpA8q7aiGVrFsuFsd0A""",43,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Shows
30,"""ld9biNPKjAjgjV7EZ4EKeEGrhao/x5NxSf5fz8hn4loSN4rvhwzD_pY""",44,youtube#videoCategory,False,UCBR8-60-B28hp2BmDPdntcQ,Trailers
